Differential_pressure,Dust_feed,Time,Dust
133.7348,59.1072357995712,142.3,1.025
21.15886,118.214471599142,22.9,1.025
101.0923,316.98506511903,31.8,1.2
90.51288,158.492532559515,29.3,1.025
39.60503,59.1072357995712,37.7,0.9
18.44618,118.214471599142,26.4,1.025
231.7527,59.1072357995712,198.9,1.2
54.79601,237.738798839273,7.0,0.9
166.0156,59.1072357995712,120.8,0.9
4.701968,118.214471599142,14.4,1.2
35.80729,59.1072357995712,71.1,1.025
301.0164,59.1072357995712,247.8,1.2
405.7255,316.98506511903,52.1,1.025
424.8951,59.1072357995712,217.3,1.025
7.414641,79.2462662797576,33.1,1.025
44.48785,59.1072357995712,84.7,1.025
5.334925,59.1072357995712,2.5,1.025
343.8766,79.2462662797576,88.2,0.9
176.7759,118.214471599142,84.2,1.025
8.138021,177.321707398714,10.6,1.2
41.41348,177.321707398714,27.5,1.2
154.1703,59.1072357995712,177.1,1.2
29.56814,79.2462662797576,59.5,1.025
3.074363,118.214471599142,2.0,1.025
157.8776,79.2462662797576,104.6,1.025
246.9437,59.1072357995712,178.3,1.025
100.3689,59.1072357995712,163.3,1.2
117.5492,316.98506511903,24.5,0.9
224.5189,158.492532559515,69.5,1.025
49.00897,158.492532559515,33.3,1.025
16.36646,79.2462662797576,48.0,1.2
4.521122,236.428943198285,1.7,1.025
63.1149,79.2462662797576,49.2,0.9
77.3112,158.492532559515,23.3,0.9
4.06901,59.1072357995712,20.5,1.2
57.68953,158.492532559515,42.6,1.025
235.008,59.1072357995712,173.4,1.025
5.244502,316.98506511903,6.7,1.025
6.058305,59.1072357995712,33.1,1.2
9.313513,79.2462662797576,45.4,1.025
161.3137,236.428943198285,24.4,0.9
412.3264,316.98506511903,49.3,1.2
41.59433,158.492532559515,16.7,1.025
12.4783,118.214471599142,22.0,1.025
265.3899,59.1072357995712,185.4,1.025
140.6973,59.1072357995712,188.2,1.2
518.2111,59.1072357995712,243.8,1.025
550.1302,59.1072357995712,254.5,1.025
19.62167,59.1072357995712,84.1,1.2
22.42477,59.1072357995712,33.6,1.025
25.22786,158.492532559515,23.7,1.025
11.57407,316.98506511903,14.4,0.9
7.505064,79.2462662797576,17.7,1.025
33.54673,59.1072357995712,103.4,1.2
78.48669,59.1072357995712,63.4,1.025
115.4695,59.1072357995712,132.9,1.025
201.19,316.98506511903,39.0,1.2
76.67824,237.738798839273,30.8,1.2
299.8409,158.492532559515,43.0,0.9
28.6639,79.2462662797576,35.4,0.9
12.83999,316.98506511903,14.8,1.025
105.3422,59.1072357995712,168.3,1.2
29.65857,158.492532559515,26.2,1.025
290.5273,79.2462662797576,75.6,0.9
50.727,79.2462662797576,46.7,0.9
30.74363,118.214471599142,40.0,1.025
142.2345,158.492532559515,61.1,1.025
326.9676,177.321707398714,63.8,1.2
122.5224,79.2462662797576,99.9,1.025
23.32899,79.2462662797576,53.0,1.025
314.6701,316.98506511903,46.2,1.025
10.489,59.1072357995712,43.0,1.2
5.696614,118.214471599142,6.1,1.025
16.99942,79.2462662797576,58.8,1.025
19.44083,316.98506511903,14.9,0.9
9.403935,237.738798839273,10.6,0.9
38.42954,158.492532559515,25.7,1.025
120.3523,59.1072357995712,179.4,1.2
71.34332,177.321707398714,34.3,1.2
67.90726,158.492532559515,44.7,1.025
20.5259,59.1072357995712,77.8,1.2
20.34505,158.492532559515,25.1,1.2
164.6593,177.321707398714,52.8,0.9
11.12196,59.1072357995712,66.4,1.2
55.33854,158.492532559515,32.1,1.025
51.45037,79.2462662797576,86.5,1.2
6.329571,236.428943198285,2.3,1.025
38.33912,79.2462662797576,78.7,1.025
308.7022,59.1072357995712,126.2,1.025
135.5433,59.1072357995712,177.3,1.2
12.29745,59.1072357995712,46.0,1.2
78.3059,79.2462662797576,53.5,0.9
262.0443,59.1072357995712,181.5,1.025
129.9371,237.738798839273,44.0,1.025
75.77402,59.1072357995712,75.3,0.9
7.414641,316.98506511903,6.3,1.025
33.27546,118.214471599142,40.9,1.025
94.2202,59.1072357995712,88.9,0.9
385.9231,158.492532559515,57.2,0.9
70.25825,79.2462662797576,100.7,1.2
10.66985,158.492532559515,9.9,1.025
23.60026,118.214471599142,38.6,1.2
55.1577,79.2462662797576,92.6,1.2
50.27488,158.492532559515,35.8,1.025
15.64308,79.2462662797576,68.7,1.025
6.329571,177.321707398714,17.0,1.025
123.1554,158.492532559515,55.5,1.025
10.489,59.1072357995712,55.3,1.2
8.047599,118.214471599142,14.8,1.025
51.45037,79.2462662797576,82.8,1.2
130.8413,177.321707398714,48.8,0.9
9.403935,79.2462662797576,45.9,1.025
73.24219,59.1072357995712,147.7,1.2
43.58363,118.214471599142,50.7,1.2
163.9359,59.1072357995712,192.0,1.2
127.5861,79.2462662797576,57.9,0.9
5.606192,79.2462662797576,40.9,1.025
31.46701,59.1072357995712,101.2,1.2
10.66985,79.2462662797576,41.8,1.025
352.6476,59.1072357995712,203.4,1.025
1.5372,79.2462662797576,21.8,0.9
186.9936,59.1072357995712,93.3,1.025
29.56814,158.492532559515,5.6,1.025
10.489,59.1072357995712,41.1,1.2
8.228443,158.492532559515,11.2,1.025
59.40755,59.1072357995712,132.0,1.2
289.804,158.492532559515,44.1,0.9
17.18027,158.492532559515,18.7,1.025
174.3345,236.428943198285,31.7,0.9
208.9663,59.1072357995712,187.7,1.2
5.334925,59.1072357995712,32.8,1.2
42.95066,237.738798839273,4.5,0.9
19.25998,59.1072357995712,58.6,1.2
15.55266,59.1072357995712,69.8,1.2
335.5577,59.1072357995712,224.2,1.2
179.6694,59.1072357995712,206.3,1.2
38.33912,79.2462662797576,78.8,1.025
31.73828,118.214471599142,43.2,1.2
200.0145,79.2462662797576,112.6,1.025
19.80252,59.1072357995712,11.2,0.9
51.81207,236.428943198285,25.1,1.025
52.08334,237.738798839273,27.6,1.2
382.8487,59.1072357995712,240.0,1.2
102.8103,59.1072357995712,166.5,1.2
59.67882,79.2462662797576,76.0,1.025
93.22555,316.98506511903,30.0,1.025
23.60026,158.492532559515,27.3,1.025
118.9055,59.1072357995712,171.8,1.2
12.56872,158.492532559515,11.9,1.025
51.4504,118.214471599142,22.3,0.9
40.87094,79.2462662797576,93.7,1.025
13.5634,79.2462662797576,7.9,0.9
23.05773,79.2462662797576,79.8,1.025
69.62529,59.1072357995712,102.6,1.025
71.52416,79.2462662797576,99.2,1.2
355.1794,59.1072357995712,203.9,1.025
88.614,158.492532559515,40.7,1.025
169.2708,177.321707398714,48.7,1.2
164.8401,59.1072357995712,183.3,1.2
550.8536,59.1072357995712,190.2,1.025
56.51403,79.2462662797576,110.1,1.025
290.889,59.1072357995712,211.0,1.2
17.7228,237.738798839273,15.2,1.2
9.494357,158.492532559515,7.6,1.2
40.96137,118.214471599142,49.3,1.025
33.45631,158.492532559515,28.5,1.2
558.9012,59.1072357995712,257.6,1.025
26.40336,59.1072357995712,29.4,0.9
12.38788,118.214471599142,25.7,1.2
133.2827,158.492532559515,58.9,1.025
454.5536,158.492532559515,99.5,1.025
13.20168,79.2462662797576,33.1,1.025
259.0603,158.492532559515,74.0,1.025
80.47598,158.492532559515,45.0,1.2
3.707321,158.492532559515,9.5,1.025
7.324219,59.1072357995712,31.3,1.2
18.98871,79.2462662797576,63.1,1.025
16.36646,79.2462662797576,47.3,1.2
2.170139,316.98506511903,8.7,1.2
133.7348,158.492532559515,42.6,0.9
4.521122,158.492532559515,10.4,1.025
18.08449,59.1072357995712,49.3,1.025
19.98336,237.738798839273,19.1,0.9
113.8419,158.492532559515,63.2,1.025
33.54673,118.214471599142,39.2,1.025
42.76982,79.2462662797576,64.7,1.025
4.521122,236.428943198285,1.1,1.025
34.54138,79.2462662797576,68.3,1.2
313.4042,59.1072357995712,194.6,1.025
130.0275,59.1072357995712,173.5,1.2
53.34925,59.1072357995712,88.6,1.025
2.531829,177.321707398714,4.3,1.2
28.21181,59.1072357995712,20.7,0.9
219.9978,79.2462662797576,147.2,1.2
350.8391,59.1072357995712,205.0,1.025
19.25998,59.1072357995712,78.3,1.2
537.019,79.2462662797576,98.0,0.9
1.175492,79.2462662797576,11.6,1.025
38.33912,79.2462662797576,62.7,1.025
20.25463,118.214471599142,30.9,1.025
59.31713,59.1072357995712,133.2,1.2
72.8805,59.1072357995712,136.2,1.2
245.8587,79.2462662797576,157.1,1.2
37.70617,59.1072357995712,100.5,1.2
1.085069,59.1072357995712,14.8,1.2
191.3339,158.492532559515,64.1,1.025
89.7895,316.98506511903,22.4,0.9
67.54557,118.214471599142,63.6,1.2
54.97685,316.98506511903,29.2,1.025
56.06192,236.428943198285,23.6,0.9
47.65263,59.1072357995712,86.6,1.025
34.6318,59.1072357995712,32.5,0.9
71.61459,79.2462662797576,100.4,1.2
2.531829,177.321707398714,7.0,1.2
178.0418,118.214471599142,35.9,0.9
66.4605,59.1072357995712,63.8,0.9
7.414641,59.1072357995712,14.6,1.025
126.3202,59.1072357995712,111.1,0.9
40.87094,59.1072357995712,113.2,1.2
33.45631,118.214471599142,41.8,1.025
129.5754,118.214471599142,74.8,1.025
9.313513,79.2462662797576,57.5,1.025
28.30223,59.1072357995712,23.2,1.025
349.6636,177.321707398714,65.9,1.2
26.49378,158.492532559515,8.3,1.025
69.08276,59.1072357995712,62.5,0.9
17.45153,59.1072357995712,48.1,1.025
288.3572,59.1072357995712,238.7,1.2
9.494357,236.428943198285,13.2,0.9
0.3616898,79.2462662797576,39.2,1.025
12.56872,79.2462662797576,40.7,1.2
2.260561,59.1072357995712,37.3,1.2
7.595486,237.738798839273,11.4,0.9
12.02619,177.321707398714,20.5,1.025
14.46759,316.98506511903,6.0,1.025
55.24812,59.1072357995712,96.5,1.025
66.09882,316.98506511903,19.7,1.2
242.6939,59.1072357995712,144.7,0.9
33.63715,236.428943198285,13.8,0.9
21.9727,158.492532559515,5.6,0.9
134.1869,236.428943198285,34.1,1.025
458.261,158.492532559515,54.0,0.9
6.23915,79.2462662797576,17.4,1.025
107.1506,79.2462662797576,58.0,0.9
197.6635,79.2462662797576,139.8,1.2
80.1143,118.214471599142,67.5,1.2
214.9342,158.492532559515,47.3,0.9
8.770978,158.492532559515,15.4,1.025
2.260561,118.214471599142,1.5,1.025
66.55093,177.321707398714,16.7,0.9
8.318866,316.98506511903,1.7,1.025
37.43489,59.1072357995712,104.1,1.2
46.56756,158.492532559515,42.4,1.025
10.66985,158.492532559515,8.6,1.025
38.42954,158.492532559515,34.4,1.025
5.425347,158.492532559515,2.3,1.025
532.7691,158.492532559515,60.1,0.9
16.276,158.492532559515,9.6,0.9
45.93461,158.492532559515,26.7,1.025
62.57234,59.1072357995712,135.3,1.2
402.2895,59.1072357995712,146.8,1.025
230.6677,158.492532559515,40.2,0.9
302.4631,316.98506511903,45.0,1.2
31.28617,177.321707398714,12.5,0.9
14.46759,79.2462662797576,44.6,1.025
9.403935,79.2462662797576,41.9,1.025
36.98278,59.1072357995712,24.2,1.025
61.48727,59.1072357995712,94.9,1.025
84.1833,79.2462662797576,105.7,1.2
86.6247,59.1072357995712,84.5,0.9
6.419994,236.428943198285,12.1,0.9
9.94647,158.492532559515,7.3,1.025
3.616898,79.2462662797576,27.1,1.025
86.44386,158.492532559515,52.1,1.025
42.95066,158.492532559515,39.0,1.2
538.9178,59.1072357995712,252.8,1.025
272.262,59.1072357995712,118.3,1.025
16.18562,59.1072357995712,69.9,1.2
230.2156,59.1072357995712,206.7,1.2
18.89829,158.492532559515,21.1,1.025
93.58723,59.1072357995712,88.6,0.9
325.6113,59.1072357995712,202.0,1.025
42.86024,237.738798839273,22.9,0.9
579.1558,118.214471599142,60.1,0.9
25.31828,118.214471599142,34.9,1.025
179.9407,59.1072357995712,187.5,1.2
19.44083,79.2462662797576,46.1,1.025
11.39323,158.492532559515,20.0,1.025
118.2726,237.738798839273,13.0,0.9
231.7527,59.1072357995712,223.2,1.2
175.6004,158.492532559515,40.5,1.025
24.23322,59.1072357995712,91.4,1.2
40.50926,59.1072357995712,93.9,1.2
61.57769,158.492532559515,40.9,1.025
513.1474,59.1072357995712,176.9,1.025
454.192,118.214471599142,112.2,1.025
146.0323,59.1072357995712,171.7,1.2
46.9293,79.2462662797576,44.4,0.9
16.27604,316.98506511903,13.3,0.9
6.329571,59.1072357995712,50.2,1.2
4.159433,59.1072357995712,40.4,1.2
167.9145,79.2462662797576,128.6,1.2
107.1506,79.2462662797576,57.5,0.9
72.15712,158.492532559515,37.9,1.025
49.64193,59.1072357995712,51.8,0.9
45.66334,59.1072357995712,113.5,1.2
17.36111,59.1072357995712,72.9,1.2
114.5652,79.2462662797576,124.5,1.2
37.61574,59.1072357995712,72.8,1.025
61.5777,79.2462662797576,39.2,0.9
177.7705,59.1072357995712,204.7,1.2
80.38556,158.492532559515,40.8,1.025
212.3119,59.1072357995712,191.4,1.2
56.51403,59.1072357995712,91.8,1.025
34.54138,118.214471599142,38.6,1.025
75.41233,237.738798839273,31.3,1.2
59.13628,118.214471599142,56.7,1.025
15.64308,59.1072357995712,6.2,1.025
271.7195,177.321707398714,59.2,1.2
107.5123,79.2462662797576,123.6,1.2
51.26953,59.1072357995712,129.7,1.2
253.9063,59.1072357995712,112.6,1.025
51.35995,79.2462662797576,107.6,1.025
540.8167,59.1072357995712,250.3,1.025
35.62645,59.1072357995712,105.3,1.2
8.680555,158.492532559515,5.2,1.025
46.8388,158.492532559515,26.0,0.9
10.66985,118.214471599142,21.1,1.025
151.0055,237.738798839273,37.0,0.9
30.47237,316.98506511903,23.3,1.025
44.39742,59.1072357995712,115.1,1.2
9.856047,59.1072357995712,61.3,1.2
122.8841,237.738798839273,34.0,0.9
181.2066,118.214471599142,36.0,0.9
56.4236,158.492532559515,29.6,0.9
7.143374,316.98506511903,11.3,1.025
4.4307,79.2462662797576,7.8,1.025
244.9544,59.1072357995712,228.0,1.2
7.866754,236.428943198285,9.8,1.025
7.866754,118.214471599142,21.6,1.2
26.40336,59.1072357995712,15.3,0.9
28.48307,158.492532559515,26.1,1.025
428.7833,158.492532559515,51.4,0.9
398.0396,59.1072357995712,245.3,1.2
38.42954,158.492532559515,36.3,1.2
263.9431,59.1072357995712,186.4,1.025
231.4815,59.1072357995712,203.2,1.2
47.83348,158.492532559515,38.2,1.025
83.55035,59.1072357995712,62.6,1.025
392.343,158.492532559515,90.2,1.025
89.7895,316.98506511903,34.8,1.025
12.29745,79.2462662797576,56.7,1.025
452.1122,118.214471599142,112.8,1.025
8.138021,59.1072357995712,14.4,1.025
144.7663,158.492532559515,35.1,1.025
374.7106,59.1072357995712,140.4,1.025
66.55093,177.321707398714,16.3,0.9
71.25289,59.1072357995712,125.6,1.2
14.55802,59.1072357995712,74.8,1.2
49.28024,59.1072357995712,119.4,1.2
147.8407,158.492532559515,60.2,1.025
90.5129,118.214471599142,28.9,0.9
318.5583,59.1072357995712,218.5,1.2
17.81322,236.428943198285,15.7,0.9
82.01317,118.214471599142,68.1,1.2
5.334925,59.1072357995712,43.7,1.2
14.55802,177.321707398714,21.5,1.025
392.7951,59.1072357995712,143.5,1.025
2.622251,59.1072357995712,3.1,1.025
221.6254,59.1072357995712,194.6,1.2
22.06308,316.98506511903,18.9,1.025
13.38252,316.98506511903,18.4,1.025
8.047599,59.1072357995712,6.2,1.025
44.48785,316.98506511903,16.9,0.9
5.334925,59.1072357995712,41.5,1.2
40.78053,158.492532559515,35.8,1.025
23.32899,158.492532559515,21.0,1.025
112.8472,59.1072357995712,149.1,1.2
16.27604,177.321707398714,23.1,0.9
9.58478,79.2462662797576,26.2,1.025
228.2263,79.2462662797576,73.2,0.9
20.70674,118.214471599142,28.5,1.025
103.7145,59.1072357995712,72.9,1.025
69.98698,316.98506511903,31.8,1.025
7.414641,79.2462662797576,18.3,1.025
254.8105,177.321707398714,60.4,0.9
75.50275,118.214471599142,61.1,1.025
110.1345,118.214471599142,70.5,1.025
373.9872,79.2462662797576,85.2,0.9
138.9793,158.492532559515,60.0,1.025
358.7963,59.1072357995712,232.3,1.2
50.27488,59.1072357995712,58.4,0.9
46.47714,118.214471599142,46.8,1.025
4.701968,59.1072357995712,27.2,1.2
26.49378,236.428943198285,18.4,1.2
8.318866,59.1072357995712,59.3,1.2
3.526476,79.2462662797576,3.9,1.025
106.9698,158.492532559515,61.6,1.025
130.57,158.492532559515,58.0,1.025
148.8354,59.1072357995712,192.6,1.2
104.89,59.1072357995712,69.7,1.025
511.8815,59.1072357995712,238.4,1.025
23.32899,158.492532559515,20.2,1.025
151.8193,316.98506511903,36.5,1.025
26.22251,59.1072357995712,75.3,1.2
18.71745,59.1072357995712,79.0,1.2
219.5457,59.1072357995712,200.8,1.2
330.4036,316.98506511903,47.7,1.025
56.60445,59.1072357995712,54.5,0.9
114.5652,59.1072357995712,100.0,0.9
141.9633,59.1072357995712,167.4,1.2
9.856047,118.214471599142,22.5,1.2
57.77995,59.1072357995712,47.3,1.025
27.66927,79.2462662797576,84.6,1.025
331.76,59.1072357995712,223.8,1.2
22.42477,177.321707398714,10.1,0.9
237.7206,59.1072357995712,140.9,0.9
192.8711,59.1072357995712,182.4,1.2
8.138,158.492532559515,5.1,0.9
12.56872,59.1072357995712,1.7,0.9
19.53125,177.321707398714,17.9,1.2
32.55208,59.1072357995712,29.1,0.9
55.60981,118.214471599142,56.4,1.2
140.7878,158.492532559515,60.2,1.025
48.19516,59.1072357995712,107.2,1.2
0.994647,59.1072357995712,29.5,1.2
20.07379,79.2462662797576,55.9,1.2
81.47063,59.1072357995712,115.2,1.025
13.56337,59.1072357995712,58.1,1.2
116.9162,158.492532559515,55.0,1.025
21.15886,59.1072357995712,4.9,0.9
49.37066,59.1072357995712,109.2,1.2
13.20168,158.492532559515,1.9,1.025
36.34983,158.492532559515,32.8,1.025
55.33854,158.492532559515,30.9,1.025
343.4245,118.214471599142,104.1,1.025
39.69546,59.1072357995712,45.2,0.9
52.53545,59.1072357995712,109.8,1.2
58.50333,177.321707398714,37.1,0.9
184.1001,59.1072357995712,176.4,1.2
16.36646,79.2462662797576,47.8,1.2
40.78053,79.2462662797576,94.6,1.025
221.0829,59.1072357995712,196.4,1.2
254.9009,59.1072357995712,204.9,1.2
1.627604,118.214471599142,11.7,1.2
479.9624,158.492532559515,105.7,1.025
125.0543,59.1072357995712,82.1,1.025
5.063657,237.738798839273,5.6,1.2
66.5509,158.492532559515,18.9,0.9
208.8759,59.1072357995712,132.1,0.9
3.526476,59.1072357995712,42.3,1.2
31.10532,118.214471599142,38.8,1.025
214.1204,59.1072357995712,190.7,1.2
188.6212,158.492532559515,45.9,0.9
28.39265,158.492532559515,9.3,1.025
130.7509,59.1072357995712,105.7,0.9
37.43489,59.1072357995712,109.9,1.2
234.1942,59.1072357995712,226.5,1.2
146.4844,59.1072357995712,189.7,1.2
32.64251,158.492532559515,31.0,1.025
11.12196,79.2462662797576,62.3,1.025
226.1466,59.1072357995712,220.5,1.2
2.350984,79.2462662797576,19.6,1.025
248.2096,79.2462662797576,157.2,1.2
77.1304,118.214471599142,26.4,0.9
219.9978,59.1072357995712,171.2,1.025
4.06901,59.1072357995712,19.7,1.2
354.6369,158.492532559515,45.7,0.9
88.43316,59.1072357995712,116.8,1.025
316.8403,237.738798839273,59.3,1.025
205.0781,79.2462662797576,143.2,1.2
10.03689,79.2462662797576,40.9,1.2
210.0514,316.98506511903,27.6,0.9
6.148726,79.2462662797576,24.9,1.2
345.7755,59.1072357995712,135.4,1.025
214.5725,118.214471599142,87.5,1.025
19.53125,177.321707398714,19.4,1.2
374.7106,158.492532559515,48.1,0.9
325.8825,158.492532559515,73.1,1.2
216.1097,59.1072357995712,191.0,1.2
399.2151,59.1072357995712,146.3,1.025
74.86979,177.321707398714,20.2,0.9
38.33912,59.1072357995712,35.0,1.025
9.22309,59.1072357995712,36.0,1.2
28.48307,158.492532559515,30.3,1.2
416.7571,158.492532559515,52.5,0.9
152.2714,59.1072357995712,186.1,1.2
51.63122,59.1072357995712,87.9,1.025
323.622,59.1072357995712,252.7,1.2
41.95602,316.98506511903,24.2,1.2
238.8961,59.1072357995712,139.3,0.9
28.30223,158.492532559515,29.3,1.2
223.5243,59.1072357995712,216.7,1.2
368.0194,158.492532559515,77.4,1.2
440.8999,158.492532559515,59.5,0.9
85.3588,237.738798839273,29.6,0.9
102.9007,59.1072357995712,144.0,1.2
369.1044,59.1072357995712,139.1,1.025
11.75492,236.428943198285,13.9,0.9
46.56756,79.2462662797576,84.3,1.2
40.96137,118.214471599142,48.6,1.025
20.97801,59.1072357995712,54.4,1.025
67.72642,158.492532559515,34.0,1.025
27.398,59.1072357995712,89.1,1.2
42.76982,158.492532559515,26.5,1.025
65.37543,158.492532559515,46.2,1.025
91.50751,59.1072357995712,157.8,1.2
5.967882,59.1072357995712,1.8,1.025
355.1794,59.1072357995712,205.7,1.025
22.60561,59.1072357995712,58.3,1.025
21.15886,59.1072357995712,62.8,1.2
39.60503,59.1072357995712,43.0,0.9
9.313513,59.1072357995712,9.7,1.025
23.2386,158.492532559515,14.6,0.9
58.77459,118.214471599142,59.2,1.2
1.175492,79.2462662797576,11.6,1.2
81.19936,118.214471599142,63.0,1.025
117.5492,158.492532559515,55.9,1.025
240.7046,158.492532559515,50.1,0.9
52.17376,59.1072357995712,55.5,0.9
10.57943,158.492532559515,13.8,1.025
53.43967,59.1072357995712,117.0,1.2
234.1942,59.1072357995712,223.1,1.2
240.8854,118.214471599142,90.6,1.025
421.0069,59.1072357995712,222.4,1.025
5.244502,316.98506511903,3.2,1.025
33.818,177.321707398714,30.4,0.9
17.7228,177.321707398714,23.4,0.9
32.82335,158.492532559515,43.6,1.025
86.71514,158.492532559515,53.0,1.025
525.0832,59.1072357995712,246.7,1.025
13.11126,59.1072357995712,31.3,1.025
211.8598,59.1072357995712,132.3,0.9
219.4553,236.428943198285,33.9,0.9
68.35937,59.1072357995712,105.3,1.025
119.7193,59.1072357995712,180.0,1.2
55.24812,59.1072357995712,92.4,1.025
216.2905,118.214471599142,40.2,0.9
167.9145,79.2462662797576,129.0,1.2
465.5852,118.214471599142,114.1,1.025
73.42303,59.1072357995712,77.0,0.9
4.249856,79.2462662797576,43.4,1.025
4.973235,118.214471599142,7.5,1.025
33.99884,177.321707398714,30.8,0.9
221.3542,59.1072357995712,106.8,1.025
33.72757,59.1072357995712,105.9,1.2
8.228443,158.492532559515,16.0,1.025
3.707321,79.2462662797576,10.1,1.025
41.2326,79.2462662797576,41.1,0.9
1.356337,59.1072357995712,44.1,1.2
59.31713,158.492532559515,38.6,1.025
55.0673,158.492532559515,27.9,0.9
79.84303,236.428943198285,25.4,0.9
74.5081,59.1072357995712,147.8,1.2
74.59853,59.1072357995712,109.5,1.025
107.5123,79.2462662797576,92.1,1.025
39.60503,59.1072357995712,38.9,1.025
88.07147,118.214471599142,64.8,1.025
330.4941,59.1072357995712,223.0,1.2
74.77937,158.492532559515,45.2,1.025
353.9135,59.1072357995712,204.0,1.025
5.696614,79.2462662797576,41.5,1.025
27.75969,158.492532559515,24.8,1.025
5.606192,79.2462662797576,13.1,1.025
27.03631,59.1072357995712,21.0,0.9
14.46759,316.98506511903,7.6,1.2
244.0502,59.1072357995712,214.2,1.2
45.21123,59.1072357995712,46.3,0.9
90.965,79.2462662797576,46.8,0.9
93.0447,158.492532559515,57.1,1.025
49.8228,118.214471599142,22.4,0.9
191.0627,59.1072357995712,181.7,1.2
84.545,59.1072357995712,152.6,1.2
340.8022,177.321707398714,65.5,1.2
7.776331,316.98506511903,4.8,1.025
19.3504,59.1072357995712,38.0,1.025
25.13744,79.2462662797576,63.0,1.2
184.6427,59.1072357995712,209.7,1.2
81.10894,236.428943198285,25.5,0.9
226.7795,59.1072357995712,222.0,1.2
79.11964,118.214471599142,64.1,1.025
228.0454,59.1072357995712,172.2,1.025
28.3926,158.492532559515,9.0,0.9
118.7247,59.1072357995712,78.0,1.025
39.60503,59.1072357995712,37.0,1.025
50.63657,59.1072357995712,106.4,1.2
402.1086,316.98506511903,51.1,1.025
12.65914,177.321707398714,21.0,0.9
110.4962,59.1072357995712,150.2,1.2
9.1327,79.2462662797576,3.6,0.9
142.2345,158.492532559515,68.3,1.025
9.494357,59.1072357995712,55.3,1.2
513.7804,59.1072357995712,240.6,1.025
80.56641,118.214471599142,62.9,1.025
567.7626,59.1072357995712,192.5,1.025
93.0447,237.738798839273,30.6,0.9
27.48843,59.1072357995712,84.9,1.2
12.11661,59.1072357995712,53.6,1.2
12.83999,79.2462662797576,56.6,1.025
233.2899,158.492532559515,72.9,1.025
57.5991,59.1072357995712,132.5,1.2
5.515769,79.2462662797576,40.3,1.025
7.595486,237.738798839273,5.3,1.2
8.138021,316.98506511903,3.5,0.9
30.29152,59.1072357995712,93.5,1.2
121.2565,59.1072357995712,158.2,1.2
10.12731,118.214471599142,20.8,1.025
202.8176,59.1072357995712,211.8,1.2
48.55686,316.98506511903,14.6,1.025
201.7325,79.2462662797576,67.6,0.9
31.28617,59.1072357995712,98.4,1.2
419.1081,59.1072357995712,217.8,1.025
384.0242,59.1072357995712,142.6,1.025
118.9959,118.214471599142,75.5,1.2
78.39626,59.1072357995712,113.0,1.025
11.3028,79.2462662797576,5.8,0.9
428.7833,158.492532559515,51.5,0.9
419.2889,158.492532559515,96.2,1.025
3.164786,316.98506511903,1.4,1.025
13.2921,177.321707398714,22.7,0.9
492.5311,79.2462662797576,92.1,0.9
229.2209,59.1072357995712,222.1,1.2
11.21238,59.1072357995712,11.8,1.025
69.08276,59.1072357995712,73.9,0.9
